Release 8.1i - Fit J.33
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

11-25-2013  4:49PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  CPLD_SignalBoard.ngd
output file: CPLD_SignalBoard_pad.csv
Part type:   xc95108
Speed grade: -7
Package:     pc84

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,PID_PR<7>,O,I/O,OUTPUT,,,,,,,,,
P2,PID_PR<6>,O,I/O,OUTPUT,,,,,,,,,
P3,PID_PR<5>,O,I/O,OUTPUT,,,,,,,,,
P4,PID_PR<4>,O,I/O,OUTPUT,,,,,,,,,
P5,PID_PR<3>,O,I/O,OUTPUT,,,,,,,,,
P6,PID_PR<2>,O,I/O,OUTPUT,,,,,,,,,
P7,PID_PR<1>,O,I/O,OUTPUT,,,,,,,,,
P8,GND,,GND,,,,,,,,,,
P9,TIE,,I/O/GCK1,,,,,,,,,,
P10,TIE,,I/O/GCK2,,,,,,,,,,
P11,PID_PR<0>,O,I/O,OUTPUT,,,,,,,,,
P12,TIE,,I/O/GCK3,,,,,,,,,,
P13,CPLD_STM_I,O,I/O,OUTPUT,,,,,,,,,
P14,CPLD_AFM_TPI,O,I/O,OUTPUT,,,,,,,,,
P15,CPLD_AFM_CNI,O,I/O,OUTPUT,,,,,,,,,
P16,GND,,GND,,,,,,,,,,
P17,TIE,,I/O,,,,,,,,,,
P18,TIE,,I/O,,,,,,,,,,
P19,TIE,,I/O,,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,TIE,,I/O,,,,,,,,,,
P22,VCC,,VCCIO,,,,,,,,,,
P23,TIE,,I/O,,,,,,,,,,
P24,TIE,,I/O,,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,TIE,,I/O,,,,,,,,,,
P27,GND,,GND,,,,,,,,,,
P28,TDI,,TDI,,,,,,,,,,
P29,TMS,,TMS,,,,,,,,,,
P30,TCK,,TCK,,,,,,,,,,
P31,TIE,,I/O,,,,,,,,,,
P32,TIE,,I/O,,,,,,,,,,
P33,TIE,,I/O,,,,,,,,,,
P34,TIE,,I/O,,,,,,,,,,
P35,TIE,,I/O,,,,,,,,,,
P36,TIE,,I/O,,,,,,,,,,
P37,OUT_SD<10>,I,I/O,INPUT,,,,,,,,,
P38,VCC,,VCCINT,,,,,,,,,,
P39,TIE,,I/O,,,,,,,,,,
P40,OUT_SD<9>,I,I/O,INPUT,,,,,,,,,
P41,TIE,,I/O,,,,,,,,,,
P42,GND,,GND,,,,,,,,,,
P43,OUT_SD<8>,I,I/O,INPUT,,,,,,,,,
P44,TIE,,I/O,,,,,,,,,,
P45,IO_B<7>,I,I/O,INPUT,,,,,,,,,
P46,IO_A<7>,I,I/O,INPUT,,,,,,,,,
P47,IO_B<6>,I,I/O,INPUT,,,,,,,,,
P48,IO_A<6>,I,I/O,INPUT,,,,,,,,,
P49,GND,,GND,,,,,,,,,,
P50,IO_B<5>,I,I/O,INPUT,,,,,,,,,
P51,IO_A<5>,I,I/O,INPUT,,,,,,,,,
P52,IO_B<4>,I,I/O,INPUT,,,,,,,,,
P53,IO_A<4>,I,I/O,INPUT,,,,,,,,,
P54,IO_B<3>,I,I/O,INPUT,,,,,,,,,
P55,IO_A<3>,I,I/O,INPUT,,,,,,,,,
P56,IO_B<2>,I,I/O,INPUT,,,,,,,,,
P57,IO_A<2>,I,I/O,INPUT,,,,,,,,,
P58,IO_B<1>,I,I/O,INPUT,,,,,,,,,
P59,TDO,,TDO,,,,,,,,,,
P60,GND,,GND,,,,,,,,,,
P61,IO_A<1>,I,I/O,INPUT,,,,,,,,,
P62,IO_B<0>,I,I/O,INPUT,,,,,,,,,
P63,IO_A<0>,I,I/O,INPUT,,,,,,,,,
P64,VCC,,VCCIO,,,,,,,,,,
P65,TIE,,I/O,,,,,,,,,,
P66,TIE,,I/O,,,,,,,,,,
P67,TIE,,I/O,,,,,,,,,,
P68,TIE,,I/O,,,,,,,,,,
P69,TIE,,I/O,,,,,,,,,,
P70,TIE,,I/O,,,,,,,,,,
P71,TIE,,I/O,,,,,,,,,,
P72,PID_INR<7>,O,I/O,OUTPUT,,,,,,,,,
P73,VCC,,VCCINT,,,,,,,,,,
P74,TIE,,I/O/GSR,,,,,,,,,,
P75,PID_INR<6>,O,I/O,OUTPUT,,,,,,,,,
P76,TIE,,I/O/GTS1,,,,,,,,,,
P77,TIE,,I/O/GTS2,,,,,,,,,,
P78,VCC,,VCCINT,,,,,,,,,,
P79,PID_INR<5>,O,I/O,OUTPUT,,,,,,,,,
P80,PID_INR<4>,O,I/O,OUTPUT,,,,,,,,,
P81,PID_INR<3>,O,I/O,OUTPUT,,,,,,,,,
P82,PID_INR<2>,O,I/O,OUTPUT,,,,,,,,,
P83,PID_INR<1>,O,I/O,OUTPUT,,,,,,,,,
P84,PID_INR<0>,O,I/O,OUTPUT,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


